Run p Disp_sta Disp_mob Diff_disp Landscape Gendiv_t0 Gendiv_t50 Gendiv_loss Colon_npatches Colon_t Colon_rate Colon_sdrate Colon_meanrate Colon_CV gendivlossSouth gendivlossNortheast gendivlossNorthwest Meangendivloss sdgendivloss cvgendivloss Ae_t0 Ae_t50 Ae_loss AelossSouth AelossNortheast AelossNorthwest MeanAeloss sdAeloss CVAeloss
LHS_112 0.61 2.73 25.72 24.63 Continuous 0.4882 0.486262107 0.001937893 229 16 14.3125 2.416037993 9.979166667 0.242108191 0.002981929 0.007524224 0.014303991 0.008270048 0.005697759 0.688963266 1.990287398 1.95495946 0.035327937 -0.000303092 0.016889102 0.040225523 0.018937178 0.020341782 1.074171803
LHS_113 0.53 1.7 41.05 33.54 Continuous 0.5029 0.490616502 0.012283498 229 10 22.9 7.502987059 16.87777778 0.444548279 0.003631336 0.005808307 0.006176727 0.005205457 0.001375618 0.264264693 1.990428032 1.968699208 0.021728824 0.000738525 0.005684534 0.01403372 0.006818926 0.006719798 0.985462748
LHS_114 0.79 2.44 44.48 8.56 Patchy_25 0.4924 0.488503346 0.003896654 171 12 14.25 6.045161824 12.02777778 0.502600059 -0.011149803 -0.008970595 -0.00688923 -0.009003209 0.002130474 -0.236634926 1.988265258 1.961366419 0.02689884 0.000827401 0.009849711 0.019463404 0.010046839 0.009319566 0.927611764
LHS_115 0.56 2.81 6.36 25.5 Patchy_25 0.5004 0.379823349 0.120576651 143 50 2.86 1.402322478 2.181666667 0.642775773 0.026040104 0.099857204 0.226026662 0.11730799 0.101128894 0.862080192 1.988324558 1.763055549 0.225269009 0.095068485 0.291163455 0.516912739 0.301048226 0.211095773 0.701202513
LHS_116 0.3 0.19 13.65 81.93 Patchy_25 0.5016 0.430015061 0.071584939 171 40 4.275 2.178849297 3.819444444 0.570462361 0.008463517 0.029545304 0.089337795 0.042448872 0.041952816 0.988314042 1.990719267 1.860770392 0.129948875 0.002799158 0.073700326 0.239758422 0.105419302 0.121622338 1.153700851
LHS_117 0.73 1.31 38.2 70.53 Continuous 0.4894 0.490377202 -0.000977202 229 14 16.35714286 9.423209379 14.625 0.644322009 0.004795182 0.007140173 0.010454523 0.007463293 0.002843473 0.380994416 1.991048247 1.971119728 0.019928519 -0.003800019 0.005069456 0.016175599 0.005815012 0.010008657 1.721175687
LHS_118 0.42 2.87 27.97 67.46 Patchy_50 0.4909 0.484438956 0.006461044 114 14 8.142857143 5.026028247 7.698412698 0.652865525 0.006336658 0.012304136 0.017100838 0.011913878 0.005392691 0.452639456 1.988283048 1.95024159 0.038041458 -0.001328854 0.024681083 0.036880858 0.020077695 0.019516375 0.972042599
LHS_119 0.41 0.74 47.32 28.42 Patchy_25 0.4997 0.489095428 0.010604572 171 10 17.1 5.587320301 12.57777778 0.444221579 -0.0022363 -0.0000392079 0.001707354 -0.000189384 0.001976111 -10.4343935 1.988864349 1.961544307 0.027320042 -0.000433163 0.003275281 0.013708712 0.005516943 0.007332594 1.329104559
LHS_12 0.63 1.68 18.44 8.18 Patchy_50 0.4922 0.452255395 0.039944605 114 26 4.384615385 2.574506138 3.801282051 0.677273116 -0.002079658 0.020398172 0.046436922 0.021585145 0.02428006 1.12485043 1.987589491 1.890774411 0.09681508 -0.011112241 0.067830588 0.147794453 0.068170934 0.079453894 1.165509837
LHS_120 0.76 0.33 36.15 42.86 Continuous 0.4884 0.474102179 0.014297821 229 22 10.40909091 3.908579463 8.237373737 0.474493399 0.000426463 0.005542076 0.021256484 0.009075007 0.010855121 1.19615555 1.991599434 1.950162957 0.041436477 -0.003899198 0.011442969 0.068712148 0.02541864 0.038269981 1.50558728
